Id,Source,Status (leads),Acquisition Campaign,City,Use Case,Status (offers),Price,Pain,Has_discount_code,Is_in_leads,created_days_leads,created_days_offers
0d47k9k2,Inbound,Qualified,N/A,Dallas,Corporate Events,Closed Lost,768.0,operations,False,True,664.0,694
0db7699v,Outbound,Qualified,TradeShow 5,Denver,Corporate Events,Closed Won,768.0,operations,True,True,592.0,488
0diwecqv,Outbound,Qualified,N/A,N/A,Sports Events,Closed Won,240.0,operations,True,True,571.0,663
0e0229yb,Outbound,Qualified,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,True,523.0,523
0eaw1t1n,Inbound,Qualified,N/A,San Francisco,Educational Seminars,Closed Won,768.0,operations,True,True,462.0,463
0ee1p6fj,Inbound,Qualified,N/A,N/A,Sports Events,Closed Lost,200.0,operations,False,True,373.0,377
0f7exkpn,N/A,N/A,N/A,N/A,Sports Events,Closed Won,1680.0,financial control,True,False,-1000.0,476
0ff6bxn1,N/A,N/A,N/A,N/A,Sports Events,Closed Won,240.0,financial control,True,False,-1000.0,383
0frrgcjp,Inbound,Qualified,EducationExpo 2,N/A,Corporate Events,Closed Won,360.0,financial control,True,True,621.0,623
0fssj4er,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Lost,200.0,operations,False,True,260.0,292
0g0p0bqt,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,300.0,operations,True,True,846.0,999
0gqgv48s,Inbound,Qualified,N/A,San Antonio,Educational Seminars,Closed Won,150.0,operations,True,True,453.0,575
0gv96doq,Outbound,Qualified,Branding book,N/A,Sports Events,Closed Won,360.0,operations,True,True,657.0,659
0gwe7lyb,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,240.0,operations,True,False,-1000.0,4
0gxm7co5,Outbound,Qualified,TradeShow 3,San Francisco,Corporate Events,Closed Won,240.0,operations,True,True,616.0,617
0h2084e4,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,240.0,operations,True,True,372.0,372
0if64zmi,Inbound,Qualified,N/A,Los Angeles,Educational Seminars,Demo 2,360.0,N/A,False,True,442.0,446
0ij22rz8,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,240.0,N/A,True,False,-1000.0,204
0il42fhx,Inbound,Qualified,N/A,New York,Sports Events,Closed Won,360.0,operations,True,True,382.0,383
0iskahlm,Outbound,Qualified,N/A,N/A,Sports Events,Closed Lost,0.0,operations,False,True,464.0,668
0iustj8w,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Lost,360.0,operations,True,True,407.0,408
0jhlry9r,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,960.0,operations,True,False,-1000.0,173
0jqeeaft,Inbound,Qualified,N/A,New York,Corporate Events,Closed Won,768.0,operations,True,True,59.0,59
0jtq77b0,Outbound,Discarded,N/A,N/A,Corporate Events,Closed Won,360.0,financial control,True,True,538.0,366
0k1w51h3,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Lost,200.0,financial control,False,True,313.0,313
0k2quuko,Inbound,Qualified,N/A,Chicago,Educational Seminars,Closed Won,240.0,operations,True,True,306.0,251
0k538va6,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,1344.0,operations,True,False,-1000.0,226
0kq5jhsx,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,300.0,operations,True,True,412.0,412
0krveqrp,N/A,N/A,N/A,N/A,Sports Events,Closed Won,768.0,operations,True,False,-1000.0,392
0l68krjr,Inbound,Qualified,N/A,Phoenix,Corporate Events,Closed Won,240.0,quality of delivery,True,True,374.0,378
0l6au65m,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,240.0,operations,True,False,-1000.0,61
0la39f4d,Outbound,Qualified,N/A,San Francisco,Sports Events,Closed Lost,768.0,financial control,False,True,93.0,154
0m401luo,Inbound,Qualified,VirtualMeetups,San Francisco,Corporate Events,Closed Lost,1344.0,operations,True,True,712.0,714
0mncc3zw,Inbound,Qualified,N/A,N/A,Sports Events,Closed Won,0.0,operations,True,True,568.0,569
0mquhzm4,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,1344.0,quality of delivery,True,True,282.0,294
0n3vowo1,Inbound,Qualified,N/A,New York,Corporate Events,Closed Won,240.0,quality of delivery,True,True,334.0,161
0n52equq,Inbound,Qualified,N/A,Austin,Corporate Events,Demo 1,240.0,operations,True,True,376.0,379
0ngevrlg,Inbound,Qualified,VirtualMeetups,Fort Worth,Sports Events,Closed Won,360.0,financial control,True,True,625.0,631
0ntnaqye,Inbound,Qualified,TradeShow 5,Indianapolis,Corporate Events,Closed Won,150.0,N/A,True,True,785.0,785
0ny7ufa6,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,768.0,operations,True,False,-1000.0,483
0o1ag777,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,240.0,operations,True,True,395.0,484
0okteb8t,Inbound,Qualified,EducationExpo 3,San Diego,Sports Events,Negotiation,960.0,operations,True,True,785.0,785
0otwjac7,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,14876.0,N/A,True,False,-1000.0,969
0p02sziz,N/A,N/A,N/A,N/A,Sports Events,Closed Won,1344.0,N/A,True,False,-1000.0,533
0pegiisz,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,37
0pqvsmrs,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,240.0,operations,True,False,-1000.0,294
0qcixp7b,Inbound,Qualified,N/A,N/A,Sports Events,Closed Lost,960.0,operations,False,True,538.0,566
0ql336on,Inbound,Qualified,N/A,San Francisco,Corporate Events,Closed Won,1008.0,operations,True,True,525.0,527
0ql5ls9x,Outbound,Qualified,N/A,Indianapolis,Corporate Events,Closed Won,960.0,operations,True,True,235.0,184
0qzfu1fr,Outbound,Qualified,ArtFair,Chicago,Educational Seminars,Closed Lost,200.0,operations,False,True,539.0,540
0r2s91fc,Inbound,Qualified,N/A,Chicago,Educational Seminars,Closed Lost,0.0,financial control,False,True,413.0,519
0rii9fcn,Inbound,Qualified,N/A,Jacksonville,Corporate Events,Closed Won,360.0,operations,False,True,250.0,251
0rqnl52f,Outbound,Qualified,N/A,N/A,Sports Events,Closed Lost,360.0,operations,False,True,0.0,90
0rvo0ulw,Inbound,Qualified,EducationExpo 2,San Diego,Corporate Events,Closed Won,768.0,operations,True,True,659.0,659
0s7etuba,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,450.0,operations,True,True,361.0,361
0sd3rhy1,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,1680.0,operations,True,False,-1000.0,169
0sehtwhi,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,240.0,operations,True,True,633.0,373
0t4u28vh,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,True,194.0,194
0tkrdrus,Inbound,Qualified,N/A,Washington,Corporate Events,Closed Won,360.0,operations,True,True,351.0,351
0txlki6f,Outbound,Qualified,N/A,Austin,Corporate Events,Closed Lost,0.0,financial control,False,True,685.0,716
0ud5rz7w,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,420
0uhk981i,Inbound,Qualified,N/A,Indianapolis,Educational Seminars,Closed Lost,150.0,operations,False,True,287.0,288
0uik09ir,Outbound,Qualified,N/A,San Francisco,Corporate Events,Closed Lost,200.0,operations,False,True,236.0,254
0ut8kdqf,Inbound,Qualified,N/A,N/A,Sports Events,Closed Won,768.0,operations,True,True,322.0,413
0vhmxha6,Outbound,Qualified,VirtualMeetups,Columbus,Corporate Events,Closed Won,360.0,operations,True,True,366.0,562
0vj12rvt,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,542
0vnbtwn9,Inbound,Qualified,N/A,N/A,Sports Events,Closed Lost,1344.0,financial control,False,True,362.0,439
0vzic0ph,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,250
0w46gnkp,Outbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,360.0,operations,True,True,181.0,181
0wg72hot,Inbound,Qualified,N/A,N/A,Corporate Events,Demo 1,360.0,N/A,True,True,785.0,846
0wo84ufm,Outbound,Qualified,N/A,N/A,Corporate Events,Closed Won,768.0,financial control,True,True,651.0,653
0wp1gitu,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,1344.0,operations,True,True,657.0,659
0wymszvw,N/A,N/A,N/A,N/A,Sports Events,Closed Won,120.0,N/A,True,False,-1000.0,613
0x3rf4di,N/A,N/A,N/A,N/A,Corporate Events,Closed Lost,450.0,financial control,True,False,-1000.0,125
0xbe70e7,Inbound,Qualified,N/A,N/A,Educational Seminars,Closed Won,768.0,quality of delivery,True,True,60.0,182
0xerchbz,Outbound,Qualified,VirtualMeetups,Charlotte,Corporate Events,Closed Lost,240.0,operations,True,True,560.0,566
0xm8ezpj,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,1344.0,financial control,True,False,-1000.0,706
0xs7leua,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,960.0,N/A,True,False,-1000.0,614
0xu9gz02,N/A,N/A,N/A,N/A,Sports Events,Closed Won,240.0,operations,True,False,-1000.0,657
0y81b8et,Inbound,Qualified,N/A,San Francisco,Corporate Events,Demo 1,360.0,quality of delivery,False,True,421.0,574
0yizv882,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,True,416.0,393
0yknegvy,N/A,N/A,N/A,N/A,Educational Seminars,Closed Lost,240.0,financial control,False,False,-1000.0,379
0ym95bg6,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Lost,200.0,operations,False,True,292.0,37
0ypbc11o,Inbound,Qualified,N/A,San Francisco,Corporate Events,Closed Won,300.0,operations,True,True,577.0,638
0ypn8q0d,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,450.0,quality of delivery,True,False,-1000.0,281
0ypvlzbf,Inbound,Qualified,N/A,Washington,Corporate Events,Closed Won,768.0,N/A,True,True,341.0,350
0yycxiyt,Inbound,Qualified,N/A,Denver,Sports Events,Closed Won,300.0,operations,True,True,194.0,194
0z8974f6,Inbound,Qualified,N/A,Chicago,Sports Events,Closed Lost,300.0,financial control,False,True,502.0,510
0zh3j60n,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,324.0,financial control,True,False,-1000.0,600
0zmqfdf1,Outbound,Qualified,FestivalFever,Houston,Educational Seminars,Closed Lost,768.0,operations,True,True,568.0,579
0zo6al5o,Outbound,Qualified,Branding book,San Francisco,Corporate Events,Closed Won,1344.0,operations,True,True,367.0,398
1011etew,Outbound,Qualified,N/A,Austin,Corporate Events,Closed Won,768.0,operations,True,True,531.0,532
1078epg0,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,360.0,quality of delivery,True,True,507.0,516
10nuyzjb,Inbound,Qualified,N/A,Indianapolis,Educational Seminars,Closed Won,1344.0,operations,True,True,485.0,638
10sqdkwf,Inbound,Qualified,N/A,San Francisco,Educational Seminars,Closed Lost,1344.0,financial control,True,True,236.0,350
10uq6otr,Inbound,Qualified,N/A,San Francisco,Educational Seminars,Closed Lost,200.0,operations,False,True,94.0,155
11a6w1is,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,1344.0,financial control,True,False,-1000.0,756
11jvbbnd,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,324.0,quality of delivery,True,False,-1000.0,595
11jwprl1,Inbound,Qualified,N/A,San Francisco,Corporate Events,Closed Lost,240.0,operations,True,True,160.0,163
11w0e0v4,Outbound,Qualified,N/A,N/A,Sports Events,Closed Lost,0.0,operations,False,True,538.0,539
124olwdt,Outbound,Qualified,N/A,Seattle,Educational Seminars,Closed Lost,0.0,operations,False,True,474.0,577
12kbvlvn,Inbound,Qualified,Branding book,Phoenix,Corporate Events,Closed Won,240.0,operations,True,True,582.0,707
12vkiohu,Outbound,Qualified,EducationExpo 2,Washington,Corporate Events,Closed Lost,200.0,N/A,False,True,610.0,671
12wttd2f,Outbound,Qualified,Digital kit 4,San Francisco,Corporate Events,Closed Won,324.0,operations,True,True,692.0,692
130bicdd,Outbound,Qualified,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,True,546.0,546
13a6uty3,Inbound,Qualified,N/A,N/A,Sports Events,Closed Won,360.0,operations,True,True,679.0,680
13exietw,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,False,-1000.0,216
145m03ku,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,300.0,operations,True,False,-1000.0,61
146pu6lr,Inbound,Qualified,N/A,Los Angeles,Sports Events,Closed Won,360.0,financial control,True,True,380.0,383
147pj2oi,N/A,Qualified,N/A,Jacksonville,Corporate Events,Closed Lost,768.0,operations,False,True,447.0,447
14apqldf,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,750.0,quality of delivery,True,False,-1000.0,365
1541gzro,Inbound,Qualified,N/A,N/A,Sports Events,Closed Lost,150.0,financial control,True,True,603.0,633
158o07ev,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,1344.0,quality of delivery,True,False,-1000.0,361
15jhl64b,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,576.0,operations,True,False,-1000.0,203
15p05xgl,Inbound,Qualified,N/A,N/A,Sports Events,Closed Lost,768.0,operations,False,True,313.0,313
162isa44,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,576.0,operations,True,False,-1000.0,189
162ql3qc,Outbound,Qualified,TradeShow 7,Chicago,Sports Events,Closed Won,240.0,financial control,True,True,647.0,650
16a554et,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,960.0,N/A,True,False,-1000.0,467
16l9bb20,Outbound,Qualified,N/A,San Francisco,Corporate Events,Closed Won,1344.0,N/A,True,True,3.0,154
17b12ezk,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,False,-1000.0,429
17l95usd,Inbound,Qualified,N/A,San Francisco,Sports Events,Closed Won,768.0,quality of delivery,True,True,181.0,159
17z3bbfi,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,300.0,operations,True,True,215.0,393
17zkr4k6,Outbound,Qualified,N/A,Jacksonville,Corporate Events,Closed Won,768.0,operations,True,True,369.0,428
183u17g7,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,960.0,operations,True,True,64.0,64
184a5ogs,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,576.0,N/A,True,True,785.0,785
185ji3ne,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,False,-1000.0,350
18iw3gb4,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,65
18kobh4l,N/A,N/A,N/A,N/A,Sports Events,Checkbox,420.0,N/A,False,False,-1000.0,999
18sbog39,Inbound,Qualified,N/A,Chicago,Sports Events,Closed Lost,360.0,operations,False,True,304.0,159
18zqbqod,Inbound,Qualified,N/A,Houston,Corporate Events,Closed Lost,150.0,financial control,False,True,200.0,202
194gbb0w,Outbound,Qualified,EducationExpo,N/A,Educational Seminars,Closed Lost,200.0,N/A,False,True,686.0,688
19xon7w6,Inbound,Qualified,N/A,Jacksonville,Corporate Events,Closed Lost,240.0,operations,True,True,198.0,223
1aejkhg1,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,200.0,operations,True,True,92.0,122
1agdp3tl,Inbound,Qualified,N/A,San Francisco,Corporate Events,Closed Won,768.0,quality of delivery,True,True,273.0,163
1ah2vdcx,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,360.0,operations,True,True,219.0,224
1ao36oc6,Inbound,Qualified,N/A,San Francisco,Corporate Events,Closed Won,450.0,quality of delivery,True,True,323.0,327
1b3np159,Outbound,Qualified,FestivalFever,N/A,Educational Seminars,Closed Won,360.0,financial control,True,True,559.0,561
1bcg16j9,Inbound,Qualified,VirtualMeetups,Chicago,Corporate Events,Closed Won,240.0,operations,True,True,679.0,679
1bftu3hh,Outbound,Qualified,VirtualMeetups,Washington,Corporate Events,Closed Lost,576.0,operations,True,True,613.0,613
1bi9ev3i,Inbound,Qualified,N/A,Seattle,Corporate Events,Closed Won,240.0,financial control,True,True,411.0,412
1bvk8v1b,Outbound,Qualified,VirtualMeetups,Chicago,Corporate Events,Closed Won,360.0,quality of delivery,True,True,676.0,679
1c13wzfy,Outbound,Qualified,N/A,Chicago,Corporate Events,Closed Lost,200.0,operations,True,True,196.0,198
1cu4ljkk,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,768.0,financial control,True,False,-1000.0,610
1dmzvsmr,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,360.0,N/A,True,False,-1000.0,707
1e91iw69,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,960.0,N/A,True,False,-1000.0,448
1eqp5n1c,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,360.0,operations,True,False,-1000.0,476
1etqpv45,Outbound,Qualified,N/A,Charlotte,Corporate Events,Closed Won,240.0,N/A,True,True,697.0,468
1f16zkgo,Inbound,Qualified,N/A,San Francisco,Educational Seminars,Closed Lost,1344.0,financial control,False,True,319.0,323
1f63kqxn,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,True,412.0,414
1f7lad4f,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,452
1falv4fw,Inbound,Qualified,TradeShow 8,San Diego,Corporate Events,Closed Won,324.0,operations,True,True,400.0,428
1feomyn7,Inbound,Qualified,N/A,N/A,Corporate Events,Demo 1,360.0,operations,False,True,316.0,317
1fite3ii,Outbound,Qualified,N/A,N/A,Corporate Events,Closed Won,360.0,N/A,True,True,577.0,523
1g0285gw,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,240.0,N/A,True,False,-1000.0,569
1g4q0pz7,Outbound,Qualified,N/A,Jacksonville,Educational Seminars,Closed Won,1344.0,N/A,True,True,509.0,516
1g860d51,Outbound,Qualified,EducationExpo 2,N/A,Corporate Events,Closed Won,960.0,operations,True,True,613.0,674
1ggajn2x,Inbound,Qualified,N/A,Chicago,Educational Seminars,Closed Won,576.0,quality of delivery,True,True,616.0,617
1h085jl9,Outbound,Qualified,N/A,Dallas,Sports Events,Closed Won,768.0,financial control,True,True,363.0,363
1h42x6jm,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,600.0,operations,False,True,665.0,362
1h6sl0if,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,324.0,operations,True,False,-1000.0,652
1hgfw55s,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,360.0,financial control,True,False,-1000.0,36
1hiidqru,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,720
1i25xhkw,N/A,N/A,N/A,N/A,Educational Seminars,Closed Won,360.0,quality of delivery,True,False,-1000.0,278
1iuep98k,Inbound,Qualified,N/A,N/A,Corporate Events,Closed Won,240.0,operations,True,True,386.0,386
1iujgyhq,Inbound,Qualified,N/A,Chicago,Educational Seminars,Closed Lost,200.0,quality of delivery,False,True,282.0,285
1iwkps9i,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,360.0,time saving,True,True,504.0,504
1ix1u9j3,Inbound,Qualified,N/A,Charlotte,Educational Seminars,Closed Won,960.0,operations,True,True,434.0,435
1j7wf358,Inbound,Qualified,N/A,N/A,Educational Seminars,Closed Won,0.0,quality of delivery,True,True,496.0,496
1jm97rku,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,324.0,operations,True,False,-1000.0,230
1jnjbcpn,Outbound,Qualified,VirtualMeetups,Jacksonville,Corporate Events,Closed Lost,576.0,N/A,True,True,459.0,656
1kfb6ape,N/A,N/A,N/A,N/A,Sports Events,Closed Won,960.0,N/A,True,False,-1000.0,483
1klsp3mg,Outbound,Qualified,N/A,N/A,Sports Events,Closed Won,150.0,operations,True,True,531.0,549
1l3hkcvs,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,768.0,operations,True,False,-1000.0,182
1ljdf14o,Inbound,Qualified,N/A,Phoenix,Corporate Events,Closed Won,300.0,operations,True,True,447.0,453
1lwpnfhh,Outbound,Qualified,N/A,San Francisco,Sports Events,Closed Won,120.0,operations,True,True,514.0,697
1lwrfjjg,Inbound,Qualified,N/A,Chicago,Educational Seminars,Closed Won,240.0,operations,True,True,264.0,4
1lzzugf7,N/A,N/A,N/A,N/A,Corporate Events,Closed Won,960.0,operations,True,False,-1000.0,668
1mcsswaj,Inbound,Qualified,N/A,Seattle,Corporate Events,Closed Lost,240.0,operations,False,True,526.0,526
1mgpps5w,Outbound,Qualified,EducationExpo 2,Washington,Corporate Events,Closed Lost,360.0,N/A,True,True,590.0,618
1mpl8scl,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,768.0,financial control,True,True,410.0,475
1nc993zq,N/A,N/A,N/A,N/A,Corporate Events,Closed Lost,360.0,operations,True,False,-1000.0,31
1ngcm1lt,Inbound,Qualified,N/A,Chicago,Corporate Events,Closed Won,360.0,operations,True,True,455.0,533
1nhvedmd,Inbound,Qualified,Digital kit,Indianapolis,Educational Seminars,Closed Won,120.0,N/A,True,True,657.0,658
1nj6ngpg,Outbound,Qualified,Branding book,N/A,Corporate Events,Closed Lost,0.0,financial control,False,True,623.0,623
